Site,Ad Fontes url,Reliability,Bias
Mother Jones,https://adfontesmedia.com/mother-jones-bias-and-reliability/,37.92,-15.24
Ms. Magazine,https://adfontesmedia.com/ms-magazine-bias-and-reliability/,37.77,-14.23
MSN.com,https://adfontesmedia.com/msn-com-bias-and-reliability/,26.4,-3.82
MSNBC Website,https://adfontesmedia.com/msnbc-bias-and-reliability/,34.45,-14.07
"Mueller, She Wrote",https://adfontesmedia.com/mueller-she-wrote-bias-and-reliability/,28,-13.33
Nasdaq,https://adfontesmedia.com/nasdaq-bias-and-reliability/,28.61,0.02
National Catholic Register,https://adfontesmedia.com/national-catholic-register-bias-and-reliability/,22.39,11.81
National Enquirer,https://adfontesmedia.com/national-enquirer-bias-and-reliability/,12.85,6.46
National File,https://adfontesmedia.com/national-file-bias-and-reliability/,21.07,20.35
National Report,https://adfontesmedia.com/national-report-bias-and-reliability/,16.58,21.33
National Review,https://adfontesmedia.com/national-review-bias-and-reliability/,31.01,13.37
Natural News,https://adfontesmedia.com/natural-news-bias-and-reliability/,9.27,28.1
Nature,https://adfontesmedia.com/nature-bias-and-reliability/,46.33,-1.48
Navy Times,https://adfontesmedia.com/navy-times-bias-and-reliability/,46.25,-0.18
NBC News Website,https://adfontesmedia.com/nbc-bias-and-reliability/,43.59,-5.77
NBC Nightly News with Lester Holt,https://adfontesmedia.com/nbc-nightly-news-with-lester-holt-bias-and-reliability/,46.52,-5.07
NBC: Today,https://adfontesmedia.com/nbc-today-bias-and-reliability/,41.83,-2.17
New Republic,https://adfontesmedia.com/new-republic-bias-and-reliability/,30.65,-17.23
New Statesman,https://adfontesmedia.com/new-statesman-bias-and-reliability/,40.13,-7.33
New York Daily News,https://adfontesmedia.com/new-york-daily-news-bias-and-reliability/,40.47,-8.12
New York Magazine,https://adfontesmedia.com/new-york-magazine-bias-reliability/,39.84,-9.95
New York Post,https://adfontesmedia.com/new-york-post-bias-and-reliability/,32.56,9.23
New York Sun,https://adfontesmedia.com/new-york-sun-bias-and-reliability/,31.1,13.11
News and Guts,https://adfontesmedia.com/news-guts-bias-and-reliability/,36.32,-12.61
NewsBusters,https://adfontesmedia.com/newsbusters-bias-and-reliability/,19.93,20.52
Newsday,https://adfontesmedia.com/newsday-bias-and-reliability/,46.75,-2.77
Newser,https://adfontesmedia.com/newser-bias-and-reliability/,36.61,-5.63
Newsmax Website,https://adfontesmedia.com/newsmax-bias-and-reliability/,29.91,13.78
NewsNation Live with Marni Hughes,https://adfontesmedia.com/newsnation-live-with-marni-hughes-bias-and-reliability/,43.63,1.98
NewsNation Prime,https://adfontesmedia.com/newsnation-prime-bias-and-reliability/,45.57,-0.43
NewsNation Website,https://adfontesmedia.com/newsnation-now-bias-reliability/,44.21,0.11
NewsNation: Morning in America,https://adfontesmedia.com/newsnation-morning-in-america-bias-and-reliability/,42.28,5.33
NewsNation: The Hill,https://adfontesmedia.com/newsnation-the-hill-bias-and-reliability/,33.54,4.73
NewsOne,https://adfontesmedia.com/newsone-bias-and-reliability/,35.03,-17.31
Newsweek,https://adfontesmedia.com/newsweek-bias-and-reliability/,38.16,-2.51
Newt’s World,https://adfontesmedia.com/newts-world-bias-and-reliability/,32.92,17.4
Nightline,https://adfontesmedia.com/nightline-bias-and-reliability/,48.58,-4.33
NJ.com,https://adfontesmedia.com/nj-com-bias-and-reliability/,44.47,-1.69
No Agenda,https://adfontesmedia.com/no-agenda-bias-and-reliability/,21.17,20.33
No Lie with Brian Tyler Cohen,https://adfontesmedia.com/no-lie-with-brian-tyler-cohen-bias-and-reliability/,30.87,-20.3
NOLA.com,https://adfontesmedia.com/nola-com-bias-and-reliability/,47.64,-1.97
NowThis News,https://adfontesmedia.com/nowthis-news-bias-and-reliability/,41.47,-7.95
NPR News Now,https://adfontesmedia.com/npr-news-now-bias-and-reliability/,49.33,-0.28
NPR Website,https://adfontesmedia.com/npr-bias-and-reliability/,43.19,-4.29
OAN Network Website,https://adfontesmedia.com/oann-one-america-news-network-bias-and-reliability/,27.89,14.38
Observer,https://adfontesmedia.com/observer-bias-and-reliability/,44.78,-5.41
Occupy Democrats,https://adfontesmedia.com/occupy-democrats-bias-and-reliability/,25.3,-21.06
Omaha World-Herald,https://adfontesmedia.com/omaha-world-herald-bias-and-reliability/,46.33,-0.38
On Balance with Leland Vittert,https://adfontesmedia.com/on-balance-with-leland-vittert-bias-and-reliability/,30.92,13.2
On Point,https://adfontesmedia.com/on-point-bias-and-reliability/,43.58,-2.83
On the Media,https://adfontesmedia.com/on-the-media-bias-and-reliability/,40.13,-15.65
One Nation w/ Brian Kilmeade,https://adfontesmedia.com/one-nation-w-brian-kilmeade-bias-and-reliability/,26.1,19.24
Open to Debate,https://adfontesmedia.com/intelligence-squared-us-bias-and-reliability/,40.87,-4.21
Orange County Register,https://adfontesmedia.com/orange-county-register-bias-and-reliability/,40.54,5.57
Orlando Sentinel,https://adfontesmedia.com/orlando-sentinel-bias-and-reliability/,45.01,-6.8
Outnumbered,https://adfontesmedia.com/outnumbered-bias-and-reliability/,22.75,24.58
Outside Online,https://adfontesmedia.com/outside-online-bias-and-reliability/,39.56,-7.16
OZY,https://adfontesmedia.com/ozy-bias-and-reliability/,40.56,-7.4
Page Six,https://adfontesmedia.com/page-six-bias-and-reliability/,36.86,0.57
Palmer Report,https://adfontesmedia.com/palmer-report-bias-and-reliability/,18.07,-25.03
Panorama,https://adfontesmedia.com/panorama-bias-and-reliability/,48.67,-7.58
Pantsuit Politics,https://adfontesmedia.com/pantsuit-politics-bias-and-reliability/,31,-15.42
Part of the Problem,https://adfontesmedia.com/part-of-problem-bias-and-reliability/,11.89,16
Paste Magazine,https://adfontesmedia.com/paste-magazine-bias-and-reliability/,35.13,-11.56
Pat Gray Unleashed,https://adfontesmedia.com/pat-gray-unleashed-bias-and-reliability/,17.08,23.67
Patch,https://adfontesmedia.com/patch-bias-and-reliability/,46.09,-3.54
PBS,https://adfontesmedia.com/pbs-bias-and-reliability/,43.96,-4.02
PBS Newshour,https://adfontesmedia.com/pbs-newshour-bias-and-reliability/,43.33,-9.49
People & Power,https://adfontesmedia.com/people-power-bias-and-reliability/,46.47,-8.42
People Magazine,https://adfontesmedia.com/people-magazine-bias-and-reliability/,41.59,-5.82
Philadelphia Inquirer,https://adfontesmedia.com/philadelphia-inquirer-bias-and-reliability/,37.67,-11.28
Pittsburgh Post-Gazette,https://adfontesmedia.com/pittsburgh-post-gazette-bias-and-reliability/,47.59,-0.45
Pivot,https://adfontesmedia.com/pivot-bias-and-reliability/,31.94,-13.17
PJ Media,https://adfontesmedia.com/pj-media-bias-and-reliability/,18.69,21.71
Planet Money,https://adfontesmedia.com/planet-money-bias-and-reliability/,42.87,-0.07
Pod is a Woman,https://adfontesmedia.com/pod-is-a-woman-bias-and-reliability/,42.33,-12
Pod Save America,https://adfontesmedia.com/pod-save-america-bias-and-reliability/,27.56,-23.86
Pod Save the People,https://adfontesmedia.com/pod-save-people-bias-and-reliability/,35.56,-13.22
Pod Save the World,https://adfontesmedia.com/pod-save-the-world-bias-and-reliability/,35.73,-17.36
Political Gabfest,https://adfontesmedia.com/political-gabfest-bias-and-reliability/,40.27,-12.27
Politically Re-Active with W. Kamau Bell & Hari Kondabolu,https://adfontesmedia.com/politically-re-active-bell-kondabolu-bias-and-reliability/,34.67,-16.67
Politico,https://adfontesmedia.com/politico-bias-and-reliability/,42.49,-5.7
Politico Playbook Daily Briefing,https://adfontesmedia.com/politico-playbook-daily-briefing-bias-and-reliability/,42.78,-4.56
Politico’s Pulse Check,https://adfontesmedia.com/politicos-pulse-check-bias-and-reliability/,43.58,-0.5
Politicology,https://adfontesmedia.com/politicology-bias-and-reliability/,33.11,-8.33
Politics War Room with James Carville & Al Hunt,https://adfontesmedia.com/politics-war-room-james-carville-al-hunt-bias-and-reliability/,33.25,-15.27
PoliticsNation with Al Sharpton,https://adfontesmedia.com/politicsnation-with-al-sharpton-bias-and-reliability/,30.33,-20.67
Politicus USA,https://adfontesmedia.com/politicus-usa-bias-reliability/,30.82,-16.24
Politifact,https://adfontesmedia.com/politifact-bias-and-reliability/,44.67,-3.51
Pop Smoke Media,https://adfontesmedia.com/pop-smoke-media-bias-and-reliability/,42.82,2.05
Popsugar,https://adfontesmedia.com/popsugar-bias-and-reliability/,35.62,-12.33
Popular Information,https://adfontesmedia.com/popular-information-bias-and-reliability/,40.02,-14.14
Poynter,https://adfontesmedia.com/poynter-bias-and-reliability/,41.45,-7.42
PragerU,https://adfontesmedia.com/prageru-bias-reliability/,23.13,18.71
ProPublica,https://adfontesmedia.com/propublica-bias-and-reliability/,47.12,-6.59
QAnon Anonymous,https://adfontesmedia.com/qanon-anonymous-bias-and-reliability/,33.89,-8.37
Quartz,https://adfontesmedia.com/quartz-bias-and-reliability/,43.87,-4.77
Quillette,https://adfontesmedia.com/quillette-bias-and-reliability/,37.67,9.33
Radio Times,https://adfontesmedia.com/radio-times-bias-and-reliability/,39.8,-0.04
Rantt Media,https://adfontesmedia.com/rantt-media-bias-and-reliability/,38.2,-15.33
Rasmussen Reports,https://adfontesmedia.com/rasmussen-reports-bias-and-reliability/,33.99,14.11
Rational Security,https://adfontesmedia.com/rational-security-bias-and-reliability/,38.44,-6.5
Raw Story,https://adfontesmedia.com/raw-story-bias-and-reliability/,34.62,-14.37
Real America,https://adfontesmedia.com/real-america-bias-and-reliability/,12.46,26
Real Change News,https://adfontesmedia.com/real-change-news-bias-and-reliability/,41.61,-9.18
Real Coffee With Scott Adams,https://adfontesmedia.com/real-coffee-scott-adams-bias-and-reliability/,18,18.17
Real News Network,https://adfontesmedia.com/real-news-network-bias-and-reliability/,36.79,-17.53
Real Raw News,https://adfontesmedia.com/real-raw-news-bias-and-reliability/,3.84,30.3
Real Time with Bill Maher,https://adfontesmedia.com/real-time-with-bill-maher-bias-and-reliability/,33.58,-9.17
RealClearDefense,https://adfontesmedia.com/realcleardefense-bias-and-reliability/,40.31,5.83
RealClearPolitics,https://adfontesmedia.com/realclear-politics-bias-and-reliability/,26.9,14.45
Reason,https://adfontesmedia.com/reason-bias-and-reliability/,36.43,5.44
Red Eagle Politics,https://adfontesmedia.com/red-eagle-politics-bias-and-reliability/,26.87,20.31
RedState,https://adfontesmedia.com/redstate-bias-and-reliability/,21.85,22.22
Relatable with Allie Beth Stuckey,https://adfontesmedia.com/relatable-with-allie-beth-stuckey-bias-and-reliability/,35.25,10.97
Reliable Sources,https://adfontesmedia.com/reliable-sources-bias-and-reliability/,32.63,-14.97
Republican-American,https://adfontesmedia.com/republican-american-bias-and-reliability/,45.72,-1.87
Reuters,https://adfontesmedia.com/reuters-bias-and-reliability/,45.65,-1.18
Reveal,https://adfontesmedia.com/reveal-bias-and-reliability/,39.81,-8.94
Reveal Podcast,https://adfontesmedia.com/reveal-podcast-bias-and-reliability/,45.22,-15.83
Right Wing Watch,https://adfontesmedia.com/right-wing-watch-bias-and-reliability/,26.97,-18.29
Rob Schmitt Tonight,https://adfontesmedia.com/rob-schmitt-tonight-bias-and-reliability/,18.76,23.53
Roll Call,https://adfontesmedia.com/roll-call-bias-and-reliability/,46.27,-3.31
Rolling Stone,https://adfontesmedia.com/rolling-stone-bias-and-reliability/,26.09,-13.58
Ron Paul Liberty Report,https://adfontesmedia.com/ron-paul-liberty-report-bias-and-reliability/,23.14,17.13
Rough Translation,https://adfontesmedia.com/rough-translation-bias-and-reliability/,42.67,-9.19
RT,https://adfontesmedia.com/rt-bias-and-reliability/,28.66,11.46
RT News,https://adfontesmedia.com/rt-news-bias-and-reliability/,24.11,23.56
RTTNews,https://adfontesmedia.com/rttnews-bias-and-reliability/,42.85,-2.37
Rudy Giuliani’s Common Sense,https://adfontesmedia.com/rudy-giulianis-common-sense-bias-and-reliability/,15.42,24.59
Rumble with Michael Moore,https://adfontesmedia.com/rumble-with-michael-moore-bias-and-reliability/,24.95,-22.14
Ruthless,https://adfontesmedia.com/ruthless-bias-and-reliability/,32.75,15.49
Sacramento Bee,https://adfontesmedia.com/sacramento-bee-bias-and-reliability/,44.52,-8.2
Salon,https://adfontesmedia.com/salon-bias-and-reliability/,32.53,-14.05
Salt Lake Tribune,https://adfontesmedia.com/salt-lake-tribune-bias-and-reliability/,46.32,-1.2
San Diego Union-Tribune,https://adfontesmedia.com/san-diego-union-tribune-bias-and-reliability/,45.78,-1.82
San Francisco Chronicle,https://adfontesmedia.com/san-francisco-chronicle-bias-and-reliability/,44.98,-6.06
Saturday Agenda,https://adfontesmedia.com/saturday-agenda-bias-and-reliability/,21.56,22.58
Save the Nation,https://adfontesmedia.com/save-the-nation-bias-and-reliability/,25.89,20.73
ScienceNews,https://adfontesmedia.com/sciencenews-bias-and-reliability/,47.37,-1.86
Scientific American,https://adfontesmedia.com/scientific-american-bias-and-reliability/,37.98,-10.08
Scripps News,https://adfontesmedia.com/scripps-news-bias-and-reliability/,44.43,-1.26
Seattle Times,https://adfontesmedia.com/seattle-times-bias-and-reliability/,40.82,-7.29
SeattlePI,https://adfontesmedia.com/seattlepi-bias-and-reliability/,44.61,-2.77
Second Nexus,https://adfontesmedia.com/second-nexus-bias-and-reliability/,25.51,-19.7
Sekulow,https://adfontesmedia.com/sekulow-bias-and-reliability/,26.94,17.25
Semafor,https://adfontesmedia.com/semafor-bias-and-reliability/,40.14,-5.92
SF Examiner,https://adfontesmedia.com/sf-examiner-bias-and-reliability/,43.35,-8.28
SFGate,https://adfontesmedia.com/sfgate-bias-and-reliability/,43.52,-1.26
Shadowproof,https://adfontesmedia.com/shadowproof-bias-and-reliability/,35.5,-23.23
Skimm This,https://adfontesmedia.com/skimm-this-bias-and-reliability/,43.25,-9.71
Sky News,https://adfontesmedia.com/sky-news-bias-and-reliability/,42.16,-0.85
Slate,https://adfontesmedia.com/slate-bias-and-reliability/,35.03,-13.7
SmartLess,https://adfontesmedia.com/smartless-bias-and-reliability/,35.5,-15.97
Smerconish,https://adfontesmedia.com/smerconish-bias-and-reliability/,35.42,1.8
Smithsonian Magazine,https://adfontesmedia.com/smithsonian-magazine-bias-and-reliability/,45.28,-4.16
Snopes,https://adfontesmedia.com/snopes-bias-and-reliability/,44.44,-2.31
Sojourners,https://adfontesmedia.com/sojourners-bias-and-reliability/,39.16,-12.8
South China Morning Post,https://adfontesmedia.com/south-china-morning-post-bias-and-reliability/,41.61,-3.25
Special Report w/Bret Baier,https://adfontesmedia.com/special-report-w-bret-baier-bias-and-reliability/,44.33,8.93
Spicer & Co.,https://adfontesmedia.com/spicer-co-bias-and-reliability/,20.71,21.13
Sputnik International News,https://adfontesmedia.com/sputnik-international-news-bias-and-reliability/,35.83,7.13
St. Louis Post-Dispatch,https://adfontesmedia.com/st-louis-post-dispatch/,44.66,-8.21
Stand Up! with Pete Dominick,https://adfontesmedia.com/stand-up-with-pete-dominick-bias-and-reliability/,24.89,-20.6
Stars and Stripes,https://adfontesmedia.com/stars-and-stripes-bias-reliability/,48.79,0.45
Start Here,https://adfontesmedia.com/start-here-bias-and-reliability/,45.19,-4.83
Stat News,https://adfontesmedia.com/stat-news-bias-and-reliability/,44.16,-2.54
State of the Union with Jake Tapper and Dana Bash,https://adfontesmedia.com/state-of-the-union-with-jake-tapper-and-dana-bash-bias-and-reliability/,39.17,-7.92
Stay Tuned with Preet,https://adfontesmedia.com/stay-tuned-with-preet-bias-and-reliability/,41.47,-13.43
Staying Home with Josh Fox,https://adfontesmedia.com/staying-home-with-josh-fox-bias-and-reliability/,31.76,-26
Stephanie Miller’s Happy Hour,https://adfontesmedia.com/stephanie-millers-happy-hour-bias-and-reliability/,28.58,-22.14
Stephanie Ruhle Reports,https://adfontesmedia.com/stephanie-ruhle-reports-bias-and-reliability/,37.33,-11.11
Stinchfield,https://adfontesmedia.com/stinchfield-bias-and-reliability/,15.68,25.92
Straight Arrow News,https://adfontesmedia.com/straight-arrow-news-bias-and-reliability/,43.31,0.68
Stu Does America,https://adfontesmedia.com/stu-does-america-bias-and-reliability/,28.56,18.2
Stuff You Should Know,https://adfontesmedia.com/stuff-you-should-know-bias-and-reliability/,38.61,-4.81
Sun Sentinel,https://adfontesmedia.com/sun-sentinel-bias-and-reliability/,44.12,-6.04
Sunday Night in America with Trey Gowdy,https://adfontesmedia.com/sunday-night-in-america-with-trey-gowdy-bias-and-reliability/,35.42,12
Sunday Papers,https://adfontesmedia.com/sunday-papers-bias-and-reliability/,24,-6.81
Sunday Today with Willie Geist,https://adfontesmedia.com/sunday-today-with-willie-geist-bias-and-reliability/,41.89,-6.59
Symone,https://adfontesmedia.com/symone-bias-and-reliability/,34,-17.17
Syracuse Post-Standard,https://adfontesmedia.com/syracuse-post-standard-bias-and-reliability/,46.7,-2.87
Talking Points Memo,https://adfontesmedia.com/talking-points-memo-bias-and-reliability/,37.97,-11.46
Tampa Bay Times,https://adfontesmedia.com/tampa-bay-times-bias-and-reliability/,45.56,-3.28
Tangle,https://adfontesmedia.com/tangle-bias-and-reliability/,43.04,1.58
TechCrunch,https://adfontesmedia.com/techcrunch-bias-and-reliability/,45.4,-0.42
Teen Vogue,https://adfontesmedia.com/teen-vogue-bias-and-reliability/,37.79,-15.5
Tennessean,https://adfontesmedia.com/tennessean-bias-and-reliability/,47.13,-1.79
TGP FactCheck,https://adfontesmedia.com/tgp-factcheck-bias-and-reliability/,17.73,19.37
The 11th Hour with Brian Williams,https://adfontesmedia.com/11th-hour-with-brian-williams-bias-and-reliability/,38.52,-17.39
The 11th Hour With Stephanie Ruhle,https://adfontesmedia.com/11th-hour-with-stephanie-ruhle-bias-and-reliability/,34.93,-16.43
The Advocate – Baton Rouge,https://adfontesmedia.com/advocate-bias-and-reliability/,45.85,-4
The Al Franken Podcast,https://adfontesmedia.com/al-franken-podcast-bias-and-reliability/,32.8,-20.12
The Alex Jones Show,https://adfontesmedia.com/alex-jones-show-bias-and-reliability/,6.67,31.67
The American Conservative,https://adfontesmedia.com/american-conservative-bias-and-reliability/,31.63,14.44
The American Legion,https://adfontesmedia.com/american-legion-bias-and-reliability/,41.16,2.92
The American Prospect,https://adfontesmedia.com/the-american-prospect-bias-and-reliability/,31.01,-16.22
The American Spectator,https://adfontesmedia.com/american-spectator-bias-and-reliability/,18.23,23.07
The Andrew Klavan Show,https://adfontesmedia.com/andrew-klavan-show-bias-and-reliability/,9.95,27.54
The Argument,https://adfontesmedia.com/the-argument-bias-and-reliability/,39.33,-11.82
The Atlantic,https://adfontesmedia.com/the-atlantic-bias-and-reliability/,38.42,-8.84
The Axe Files with David Axelrod,https://adfontesmedia.com/the-axe-files-with-david-axelrod-bias-and-reliability/,39.83,-12.32
The Beat with Ari Melber,https://adfontesmedia.com/the-beat-with-ari-melber-bias-and-reliability/,31.05,-18.67
The Ben Ferguson Podcast,https://adfontesmedia.com/ben-ferguson-podcast-bias-and-reliability/,11.69,27.33
The Ben Shapiro Show,https://adfontesmedia.com/ben-shapiro-show-bias-and-reliability/,23.41,20.62
The Big Sunday Show,https://adfontesmedia.com/big-sunday-show-bias-and-reliability/,29.89,16.22
The Blaze,https://adfontesmedia.com/blaze-bias-and-reliability/,32.5,13.64
The Bottom Line,https://adfontesmedia.com/bottom-line-bias-and-reliability/,38.67,-10.5
The Breakdown with Shaun King,https://adfontesmedia.com/breakdown-with-shaun-king-bias-and-reliability/,29.44,-19.67
The Breakfast Club,https://adfontesmedia.com/breakfast-club-bias-and-reliability/,30.08,-15.2
The Briefing,https://adfontesmedia.com/the-briefing-bias-and-reliability/,41.53,-15.89
The Brilliant Idiots,https://adfontesmedia.com/brilliant-idiots-bias-and-reliability/,28.17,-4.48
The Bulwark,https://adfontesmedia.com/the-bulwark-bias-and-reliability/,34.35,-3.51
The Bulwark Podcast,https://adfontesmedia.com/bulwark-podcast-bias-reliability/,35.27,-9.26
The Business Journals,https://adfontesmedia.com/the-business-journals-bias-and-reliability/,46.15,-0.11
The Candace Owens Show,https://adfontesmedia.com/candace-owens-show-bias-and-reliability/,16.38,26.59
The Chad Prather Show,https://adfontesmedia.com/chad-prather-show-bias-and-reliability/,21.44,22.73
The Charlie Kirk Show,https://adfontesmedia.com/charlie-kirk-show-bias-and-reliability/,13.03,26.52
The Christian Post,https://adfontesmedia.com/the-christian-post-bias-and-reliability/,36.29,10.41
The College Fix,https://adfontesmedia.com/the-college-fix-bias-and-reliability/,33.24,10.85
The Conversation,https://adfontesmedia.com/conversation-bias-and-reliability/,40.73,-4.24
The Cross Connection with Tiffany Cross,https://adfontesmedia.com/cross-connection-tiffany-cross-bias-and-reliability/,30.22,-22.44
The Cut,https://adfontesmedia.com/cut-bias-and-reliability/,32.69,-15.26
The Daily Beans,https://adfontesmedia.com/daily-beans-bias-and-reliability/,32.75,-18.53
The Daily,https://adfontesmedia.com/the-daily-bias-and-reliability/,42.33,-9.57
The Daily Punch,https://adfontesmedia.com/daily-punch-bias-and-reliability/,41.22,-0.67
The Daily Show With Trevor Noah: Ears Edition,https://adfontesmedia.com/trevor-noah-ears-edition-bias-reliability/,30.78,-16.5
The Daily Signal,https://adfontesmedia.com/daily-signal-bias-and-reliability/,21.31,17.96
The Damage Report with John Iadarola,https://adfontesmedia.com/damage-report-with-john-iadarola-bias-and-reliability/,22.62,-23.42
The Dan Bongino Show,https://adfontesmedia.com/dan-bongino-show-bias-and-reliability/,13.79,28.9
The David Pakman Show,https://adfontesmedia.com/the-david-pakman-show-bias-and-reliability/,36.83,-14.8
The Deal,https://adfontesmedia.com/the-deal-bias-and-reliability/,41.88,-2.64
The Debate,https://adfontesmedia.com/the-debate-bias-and-reliability/,38,5.21
The Dershow,https://adfontesmedia.com/the-dershow-bias-and-reliability/,33.93,9.18
The Devin Nunes Podcast,https://adfontesmedia.com/devin-nunes-podcast-bias-and-reliability/,31.89,14.44
The Dinesh D’Souza Podcast,https://adfontesmedia.com/dinesh-dsouza-podcast-bias-and-reliability/,21.9,22.12
The Dispatch,https://adfontesmedia.com/the-dispatch-bias-reliability/,41.12,5.36
The Donlon Report,https://adfontesmedia.com/donlon-report-bias-and-reliability/,38.24,8.92
The Economist Asks,https://adfontesmedia.com/economist-asks-bias-and-reliability/,40.33,-1.78
The Economist,https://adfontesmedia.com/the-economist-bias-and-reliability/,42.39,-1.54
The Epoch Times,https://adfontesmedia.com/epoch-times-bias-and-reliability/,24.11,16.63
The Evening Times,https://adfontesmedia.com/the-evening-times-bias-and-reliability/,41.71,1.48
The Ezra Klein Show,https://adfontesmedia.com/ezra-klein-show-bias-and-reliability/,42.08,-8.13
The Faulkner Focus,https://adfontesmedia.com/faulkner-focus-bias-and-reliability/,29.25,19.06
The Federalist,https://adfontesmedia.com/federalist-bias-and-reliability/,22.3,18.99
The Fifth Column,https://adfontesmedia.com/fifth-column-bias-and-reliability/,33.47,6.69
The Five,https://adfontesmedia.com/fox-news-five-bias-and-reliability/,25.63,17.56
The Fourth Watch Podcast,https://adfontesmedia.com/fourth-watch-podcast-bias-and-reliability/,36.92,-4.19
The Gateway Pundit,https://adfontesmedia.com/gateway-pundit-bias-and-reliability/,14.99,23.82
The Gist,https://adfontesmedia.com/the-gist-bias-and-reliability/,33.67,-10.47
The Glenn Beck Program,https://adfontesmedia.com/glenn-beck-program-bias-and-reliability/,15.14,28.17
The Globe and Mail,https://adfontesmedia.com/globe-and-mail-bias-and-reliability/,44.04,-1.15
The Gorka Reality Check,https://adfontesmedia.com/the-gorka-reality-check-bias-and-reliability/,19.67,22.42
The Grayzone,https://adfontesmedia.com/grayzone-bias-reliability/,17.88,-24.87
The Guardian,https://adfontesmedia.com/the-guardian-bias-and-reliability/,40.83,-7.93
The Hartmann Report,https://adfontesmedia.com/hartmann-report-bias-and-reliability/,23.61,-21.11
The Hill,https://adfontesmedia.com/hill-bias-and-reliability/,42.08,-1.26
The Holy Post Podcast,https://adfontesmedia.com/the-holy-post-podcast-bias-and-reliability/,33.56,-9.89
The Independent,https://adfontesmedia.com/independent-bias-and-reliability/,38.57,-7.48
The Ingraham Angle,https://adfontesmedia.com/ingraham-angle-bias-and-reliability/,20.01,25.71
The Intercept,https://adfontesmedia.com/intercept-bias-and-reliability/,37.57,-15.08
The Jimmy Dore Show,https://adfontesmedia.com/jimmy-dore-show-bias-and-reliability/,12.33,-25.07
The Joe Rogan Experience,https://adfontesmedia.com/joe-rogan-experience-bias-and-reliability/,17.49,6.44
The Journal Editorial Report,https://adfontesmedia.com/journal-editorial-report-bias-and-reliability/,39.89,8.22
The Journal.,https://adfontesmedia.com/the-journal-bias-and-reliability/,48.87,-0.27
The Katie Phang Show,https://adfontesmedia.com/katie-phang-show-bias-and-reliability/,33.83,-17
The Larry Elder Show,https://adfontesmedia.com/larry-elder-show-bias-and-reliability/,27.89,19.5
The Larry Kudlow Show,https://adfontesmedia.com/the-larry-kudlow-show-bias-and-reliability/,22.41,19
The Last Refuge,https://adfontesmedia.com/the-last-refuge-bias-and-reliability/,18.89,22.02
The Last Word with Lawrence O’Donnell,https://adfontesmedia.com/last-word-with-lawrence-odonnell-bias-reliability/,28.25,-19.88
The Lawfare Podcast,https://adfontesmedia.com/lawfare-podcast-bias-and-reliability/,41.33,-5.56
The Lead with Jake Tapper,https://adfontesmedia.com/lead-with-jake-tapper-bias-and-reliability/,36.9,-15.19
The Libertarian,https://adfontesmedia.com/libertarian-bias-and-reliability/,38.22,1.67
The Libertarian Republic,https://adfontesmedia.com/libertarian-republic-bias-and-reliability/,33.06,11.25
The Liberty Loft,https://adfontesmedia.com/liberty-loft-bias-and-reliability/,20.99,18.67
The Lincoln Project,https://adfontesmedia.com/lincoln-project-bias-and-reliability/,27.33,-10.71
The Listening Post,https://adfontesmedia.com/the-listening-post-bias-and-reliability/,34.53,-10.56
The Majority Report with Sam Seder,https://adfontesmedia.com/majority-report-sam-seder-bias-and-reliability/,35.22,-17.42
The Mark Levin Show,https://adfontesmedia.com/mark-levin-show-bias-and-reliability/,10.35,30.47
The Mary Trump Show,https://adfontesmedia.com/mary-trump-show-bias-and-reliability/,20.33,-20.25
The Matt Walsh Show,https://adfontesmedia.com/matt-walsh-show-bias-and-reliability/,19.16,24.52
The McCarthy Report,https://adfontesmedia.com/mccarthy-report-bias-and-reliability/,42.67,7.67
The Media Roundtable with Dan Granger,https://adfontesmedia.com/media-roundtable-bias-and-reliability/,40.11,1.56
The Megyn Kelly Show,https://adfontesmedia.com/megyn-kelly-show-bias-and-reliability/,33.37,13.51
The Mehdi Hasan Show,https://adfontesmedia.com/mehdi-hasan-show-bias-and-reliability/,31,-19
The MeidasTouch Podcast,https://adfontesmedia.com/meidastouch-podcast-bias-and-reliability/,24.95,-18.39
The Messenger,https://adfontesmedia.com/the-messenger-bias-and-reliability/,40.7,4.89
The Michael Knowles Show,https://adfontesmedia.com/michael-knowles-show-bias-and-reliability/,16.78,25.94
The Michael Savage Show,https://adfontesmedia.com/michael-savage-show-bias-and-reliability/,12.6,26.94
The Minnesota Star Tribune,https://adfontesmedia.com/minnesota-star-tribune-bias-and-reliability/,46.15,-3.12
The Mirror,https://adfontesmedia.com/mirror-bias-and-reliability/,26.81,-3.42
The Moscow Times,https://adfontesmedia.com/moscow-times-bias-and-reliability/,44.53,-0.02
The Mother Jones Podcast,https://adfontesmedia.com/mother-jones-podcast-bias-and-reliability/,38.89,-10.56
The Motley Fool,https://adfontesmedia.com/motley-fool-bias-and-reliability/,42.09,-0.46
The Nation,https://adfontesmedia.com/nation-bias-and-reliability/,31.89,-18.8
The New Abnormal,https://adfontesmedia.com/the-new-abnormal-bias-and-reliability/,15.42,-23.2
The New American,https://adfontesmedia.com/the-new-american-bias-and-reliability/,15.67,22.56
The New York Times,https://adfontesmedia.com/new-york-times-bias-and-reliability/,41.95,-7.73
The New Yorker,https://adfontesmedia.com/new-yorker-bias-and-reliability/,40.93,-12.32
